Date,Deaths
1/22/2020,1
1/23/2020,1
1/24/2020,1
1/25/2020,1
1/26/2020,1
1/27/2020,1
1/28/2020,1
1/29/2020,1
1/30/2020,1
1/31/2020,1
2/1/2020,1
2/2/2020,1
2/3/2020,1
2/4/2020,1
2/5/2020,1
2/6/2020,1
2/7/2020,1
2/8/2020,1
2/9/2020,1
2/10/2020,1
2/11/2020,1
2/12/2020,1
2/13/2020,1
2/14/2020,1
2/15/2020,1
2/16/2020,1
2/17/2020,1
2/18/2020,1
2/19/2020,1
2/20/2020,1
2/21/2020,1
2/22/2020,1
2/23/2020,1
2/24/2020,1
2/25/2020,1
2/26/2020,1
2/27/2020,1
2/28/2020,1
2/29/2020,2
3/1/2020,2
3/2/2020,7
3/3/2020,8
3/4/2020,12
3/5/2020,13
3/6/2020,15
3/7/2020,18
3/8/2020,22
3/9/2020,24
3/10/2020,29
3/11/2020,34
3/12/2020,45
3/13/2020,52
3/14/2020,61
3/15/2020,72
3/16/2020,97
3/17/2020,133
3/18/2020,198
3/19/2020,273
3/20/2020,378
3/21/2020,482
3/22/2020,603
3/23/2020,790
3/24/2020,1033
3/25/2020,1366
3/26/2020,1783
3/27/2020,2305
3/28/2020,3018
3/29/2020,3573
3/30/2020,4280
3/31/2020,5359
4/1/2020,6989
4/2/2020,8535
4/3/2020,9971
4/4/2020,11590
4/5/2020,13227
4/6/2020,14989
4/7/2020,17595
4/8/2020,19747
4/9/2020,22003
4/10/2020,24160
4/11/2020,26295
4/12/2020,28203
4/13/2020,30204
4/14/2020,32685
4/15/2020,35284
4/16/2020,37479
4/17/2020,39583
4/18/2020,41521
4/19/2020,43510
4/20/2020,45768
4/21/2020,48245
4/22/2020,50711
4/23/2020,53138
4/24/2020,55201
4/25/2020,56939
4/26/2020,58354
4/27/2020,59840
4/28/2020,62072
4/29/2020,64446
4/30/2020,66636
5/1/2020,68516
5/2/2020,70289
5/3/2020,71492
5/4/2020,72862
5/5/2020,75041
5/6/2020,77359
5/7/2020,79262
5/8/2020,81031
5/9/2020,82502
5/10/2020,83503
5/11/2020,84529
5/12/2020,86119
5/13/2020,87814
5/14/2020,89579
5/15/2020,91205
5/16/2020,92374
5/17/2020,93190
5/18/2020,94412
5/19/2020,95840
5/20/2020,97309
5/21/2020,98491
5/22/2020,99695
5/23/2020,100773
5/24/2020,101410
5/25/2020,102010
5/26/2020,102663
5/27/2020,104115
5/28/2020,105180
5/29/2020,106289
5/30/2020,107236
5/31/2020,107857
6/1/2020,108624
6/2/2020,109603
6/3/2020,110603
6/4/2020,111601
6/5/2020,112470
6/6/2020,113108
6/7/2020,113568
6/8/2020,114070
6/9/2020,114979
6/10/2020,115836
6/11/2020,116643
6/12/2020,117466
6/13/2020,118174
6/14/2020,118522
6/15/2020,118920
6/16/2020,119695
6/17/2020,120436
6/18/2020,121133
6/19/2020,121760
6/20/2020,122323
6/21/2020,122642
6/22/2020,123021
6/23/2020,123751
6/24/2020,124506
6/25/2020,125058
6/26/2020,125688
6/27/2020,126188
6/28/2020,126512
6/29/2020,126881
6/30/2020,127432
7/1/2020,128134
7/2/2020,128883
7/3/2020,129561
7/4/2020,129872
7/5/2020,130201
7/6/2020,130582
7/7/2020,131723
7/8/2020,132562
7/9/2020,133601
7/10/2020,134407
7/11/2020,135167
7/12/2020,135640
7/13/2020,136084
7/14/2020,136988
7/15/2020,137942
7/16/2020,138921
7/17/2020,139844
7/18/2020,140733
7/19/2020,141215
7/20/2020,141750
7/21/2020,142845
7/22/2020,144066
7/23/2020,145139
7/24/2020,146232
7/25/2020,147196
7/26/2020,147744
7/27/2020,148848
7/28/2020,150063
7/29/2020,151495
7/30/2020,152808
7/31/2020,153969
8/1/2020,155090
8/2/2020,155566
8/3/2020,156127
8/4/2020,157375
8/5/2020,158790
8/6/2020,159971
8/7/2020,161266
8/8/2020,162356
8/9/2020,162937
8/10/2020,163465
8/11/2020,164545
8/12/2020,166049
8/13/2020,167077
8/14/2020,168380
8/15/2020,169423
8/16/2020,170034
8/17/2020,170513
8/18/2020,171742
8/19/2020,172421
8/20/2020,173519
8/21/2020,174616
8/22/2020,175578
8/23/2020,176080
8/24/2020,176511
8/25/2020,177729
8/26/2020,178882
8/27/2020,179990
8/28/2020,180906
8/29/2020,181869
8/30/2020,182309
8/31/2020,182794
9/1/2020,183855
9/2/2020,184927
9/3/2020,185950
9/4/2020,186900
9/5/2020,187691
9/6/2020,188129
9/7/2020,188452
9/8/2020,188921
9/9/2020,190021
9/10/2020,190930
9/11/2020,192072
9/12/2020,192810
9/13/2020,193202
9/14/2020,193626
9/15/2020,194811
9/16/2020,195741
9/17/2020,196587
9/18/2020,197542
9/19/2020,198207
9/20/2020,198474
9/21/2020,198885
9/22/2020,199907
9/23/2020,200959
9/24/2020,201845
9/25/2020,202758
9/26/2020,203521
9/27/2020,203825
9/28/2020,204159
9/29/2020,205052
9/30/2020,205957
10/1/2020,206852
10/2/2020,207741
10/3/2020,208413
10/4/2020,208783
10/5/2020,209258
10/6/2020,209945
10/7/2020,210847
10/8/2020,211823
10/9/2020,212786
10/10/2020,213434
10/11/2020,213897
10/12/2020,214290
10/13/2020,215022
10/14/2020,216010
10/15/2020,216849
10/16/2020,217772
10/17/2020,218561
10/18/2020,219042
10/19/2020,219552
10/20/2020,220500
10/21/2020,221662
10/22/2020,222519
10/23/2020,223473
10/24/2020,224444
10/25/2020,224897
10/26/2020,225456
10/27/2020,226476
10/28/2020,227516
10/29/2020,228510
10/30/2020,229582
10/31/2020,230520
11/1/2020,231029
11/2/2020,231752
11/3/2020,233376
11/4/2020,234488
11/5/2020,235671
11/6/2020,236885
11/7/2020,238011
11/8/2020,238587
11/9/2020,239390
11/10/2020,240824
11/11/2020,242287
11/12/2020,243525
11/13/2020,244749
11/14/2020,246120
11/15/2020,246908
11/16/2020,247782
11/17/2020,249523
11/18/2020,251456
11/19/2020,253468
11/20/2020,255439
11/21/2020,257072
11/22/2020,258148
11/23/2020,259286
11/24/2020,261462
11/25/2020,263717
11/26/2020,265117
11/27/2020,266737
11/28/2020,268148
11/29/2020,269192
11/30/2020,270569
12/1/2020,273099
12/2/2020,275940
12/3/2020,278845
12/4/2020,281505
12/5/2020,283901
12/6/2020,285323
12/7/2020,286953
12/8/2020,289554
12/9/2020,292486
12/10/2020,295398
12/11/2020,298729
12/12/2020,301236
12/13/2020,302831
12/14/2020,304528
12/15/2020,307426
12/16/2020,311092
12/17/2020,314505
12/18/2020,317433
12/19/2020,320170
12/20/2020,321869
12/21/2020,323695
12/22/2020,327023
12/23/2020,330326
12/24/2020,333187
12/25/2020,334690
12/26/2020,336601
12/27/2020,338036
12/28/2020,339936
12/29/2020,343506
12/30/2020,347356
12/31/2020,350604
1/1/2021,352813
1/2/2021,355409
1/3/2021,356837
1/4/2021,358853
1/5/2021,362429
1/6/2021,366299
1/7/2021,370292
1/8/2021,374520
1/9/2021,377651
1/10/2021,379743
1/11/2021,381594
1/12/2021,385969
1/13/2021,389937
1/14/2021,393717
1/15/2021,397530
1/16/2021,401080
1/17/2021,403064
1/18/2021,404650
1/19/2021,407052
1/20/2021,411426
1/21/2021,415520
1/22/2021,419286
1/23/2021,422809
1/24/2021,424638
1/25/2021,426420
1/26/2021,430402
1/27/2021,434458
1/28/2021,438259
1/29/2021,441812
1/30/2021,444670
1/31/2021,446602
2/1/2021,448381
2/2/2021,451922
2/3/2021,455778
2/4/2021,459659
2/5/2021,463316
2/6/2021,466041
2/7/2021,467504
2/8/2021,468953
2/9/2021,471978
2/10/2021,475337
2/11/2021,478492
2/12/2021,481325
2/13/2021,483578
2/14/2021,484729
2/15/2021,485675
2/16/2021,487323
2/17/2021,489731
2/18/2021,492289
2/19/2021,494810
2/20/2021,496711
2/21/2021,497922
2/22/2021,499127
2/23/2021,501384
2/24/2021,504596
2/25/2021,507105
2/26/2021,509227
2/27/2021,510739
2/28/2021,511827
3/1/2021,513045
3/2/2021,514966
3/3/2021,517486
3/4/2021,519407
3/5/2021,521126
3/6/2021,522634
3/7/2021,523337
3/8/2021,524059
3/9/2021,525818
3/10/2021,527355
3/11/2021,528896
3/12/2021,530323
3/13/2021,531333
3/14/2021,531866
3/15/2021,532570
3/16/2021,533813
3/17/2021,535007
3/18/2021,536639
3/19/2021,537659
3/20/2021,538385
3/21/2021,539089
3/22/2021,539642
3/23/2021,540557
3/24/2021,542011
3/25/2021,543355
3/26/2021,544507
3/27/2021,545311
3/28/2021,545753
3/29/2021,546387
3/30/2021,547275
3/31/2021,548349
4/1/2021,549448
4/2/2021,550345
4/3/2021,551100
4/4/2021,551412
4/5/2021,551878
4/6/2021,552706
4/7/2021,555304
4/8/2021,556312
4/9/2021,557214
4/10/2021,557972
4/11/2021,558265
4/12/2021,558720
4/13/2021,559582
4/14/2021,560515
4/15/2021,561420
4/16/2021,562291
4/17/2021,563002
4/18/2021,563355
4/19/2021,563851
4/20/2021,564688
4/21/2021,565584
4/22/2021,566523
4/23/2021,567287
4/24/2021,568037
4/25/2021,568346
4/26/2021,568824
4/27/2021,569490
4/28/2021,570473
4/29/2021,571356
4/30/2021,572156
5/1/2021,572904
5/2/2021,573232
