# dates,infections,hospitalizations,deaths,mean_r_t
2020-02-01,100.0,0.0,0.0,2.941
2020-02-02,100.0,0.0,0.0,2.940999860013147
2020-02-03,100.0,0.0,0.0,2.940999827124778
2020-02-04,100.0,0.0,0.0,2.940999785913391
2020-02-05,100.0,0.0,0.0,2.940999733963864
2020-02-06,100.0,0.0,0.0,2.9409996680117745
2020-02-07,100.0,0.0,0.0,2.9409995835824696
2020-02-08,100.0,0.0,0.0,2.9409994744551886
2020-02-09,100.0,0.0,0.0,2.9409993318613
2020-02-10,394.09955999022486,0.0,0.0,2.9409955999022483
2020-02-11,393.00058933087536,0.0,0.0,2.9409949042977646
2020-02-12,435.1487139997366,0.0,0.0,2.9409928154903286
2020-02-13,520.3823600668227,0.0,0.0,2.9409906018961474
2020-02-14,698.1463927985363,2.0,0.0,2.9409880137687137
2020-02-15,980.812356890575,4.0,0.0,2.9409847729846916
2020-02-16,1227.7291437391743,6.0,0.0,2.9409803379768755
2020-02-17,1493.6418777616814,8.0,0.0009984695758723267,2.940974044297609
2020-02-18,1859.454032543347,10.0,0.0029288440892254923,2.940965745930029
2020-02-19,2355.535592109879,12.0,0.005737871829346304,2.9409548935447045
2020-02-20,3016.868181427407,14.0,0.009382951427664212,2.9409403316738807
2020-02-21,3801.604981054988,16.0,0.013830001789322772,2.9409203881014663
2020-02-22,4747.87723710113,18.0,0.01971740442235172,2.940892645522726
2020-02-23,5941.696507132926,25.0,0.026956782787651443,2.94085396016932
2020-02-24,7466.699157731776,33.0,0.03547743565394224,2.9407996097906635
2020-02-25,9402.632008305076,40.0,0.045222802036200375,2.9407223111760845
2020-02-26,11813.871951683026,48.0,0.0631952202566711,2.9406110382978854
2020-02-27,14810.877258081766,60.0,0.09179893518178736,2.9404491942467366
2020-02-28,18566.463315237146,78.0,0.1314347609892254,2.9402118243337556
2020-02-29,23291.306332233766,100.0,0.17946570627088543,2.93986099708868
2020-03-01,29230.025343583286,128.0,0.23374051395396406,2.93933870671575
2020-03-02,36667.32457316133,164.0,0.2899560011094796,2.938556180218516
2020-03-03,45968.118982458414,209.0,0.3659237289562142,2.937377521832774
2020-03-04,57607.28245457341,267.0,0.46828432027361055,2.9355946689568593
2020-03-05,72174.62585317508,335.0,0.6051485391805866,2.9328890815012874
2020-03-06,90381.56054791014,422.0,0.7851697618947469,2.928773802474521
2020-03-07,113075.25059947082,532.0,1.0165198932505737,2.9225071281487933
2020-03-08,141260.2629438664,671.0,1.3163879566256096,2.9129665786638705
2020-03-09,176095.95223184626,845.0,1.7061711845520264,2.898471157256542
2020-03-10,218831.92154506335,1062.0,2.211516152435223,2.8765454219998343
2020-03-11,270651.9541793283,1334.0,2.8630487601040007,2.843640617660581
2020-03-12,332377.5210759805,1675.0,3.691615713170308,2.794883975709741
2020-03-13,403971.967841809,2104.0,4.750113216786266,2.7240407470870194
2020-03-14,483827.53743610193,2641.0,6.105245827994718,2.6240470775203555
2020-03-15,568000.5784290981,3314.0,7.839673000010586,2.488605927641869
2020-03-16,649911.3450802909,4158.0,10.055124856291872,2.3151154836898833
2020-03-17,721289.345355808,5215.0,12.878706531524465,2.1081856943038892
2020-03-18,774709.9840419979,6539.0,16.476702466948815,1.8814300661821317
2020-03-19,806625.6094965922,8198.0,21.062404988213586,1.6549428209105805
2020-03-20,818632.7464981384,10271.0,26.90462956060159,1.448733411686164
2020-03-21,815826.5654021661,12860.0,34.34155787879921,1.276206748622441
2020-03-22,803720.7217348818,16086.0,43.79888576010209,1.141738232209898
2020-03-23,786176.0389143156,20091.0,55.81573908456397,1.0425446470573283
2020-03-24,765244.1725528862,25038.0,71.07152934836924,0.9722279218759461
2020-03-25,742049.8248387086,31101.0,90.41471153429977,0.9236914206645809
2020-03-26,717514.2802259399,38447.0,114.89488106861725,0.8907098898194832
2020-03-27,692488.9443514155,47205.0,145.79446140033386,0.8684388794223558
2020-03-28,667582.2733059954,57412.0,184.65306676428128,0.8533611874547457
2020-03-29,643073.3044384925,68967.0,233.26457107753993,0.843027938652653
2020-03-30,619020.8101593271,81585.0,293.6224411723399,0.8357765173673395
2020-03-31,595432.215571267,94818.0,367.7831545405272,0.8304941036076037
2020-04-01,572347.0029797315,108125.0,457.62214127988295,0.8264404698007246
2020-04-02,549818.756752284,120976.0,564.4840318732769,0.8231228693911361
2020-04-03,527870.2421080921,132916.0,684.9368328579187,0.8202108651149994
2020-04-04,506482.2284879842,143577.0,817.7439040642496,0.8174798508970329
2020-04-05,485616.6720140471,152653.0,960.4349842208078,0.8147744638507668
2020-04-06,465242.1547054095,159879.0,1109.5850752028894,0.8119855080497655
2020-04-07,445340.79292387096,165043.0,1261.2845105968736,0.8090359786396684
2020-04-08,425901.048665293,168034.0,1411.6281117215783,0.8058731997574321
2020-04-09,406911.0308476048,168885.0,1557.0606896637248,0.8024650098038548
2020-04-10,388359.52549608157,167811.0,1694.5279009159372,0.7987984496444791
2020-04-11,370241.4453227341,165178.0,1821.4994803514041,0.7948796786144778
2020-04-12,352561.4388018633,161426.0,1935.9593145371036,0.790734006090738
