Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12079,12079,12079,10566,10566,10566,1355,1355,1355,Admin,,
2020-12-14,US,USA,United States,3617,15696,7848,3498,14064,7032,4,1359,680,Admin,,
2020-12-15,US,USA,United States,48832,64528,21509,45412,59476,19825,23,1382,461,Admin,,
2020-12-16,US,USA,United States,157367,221895,55473,150528,210004,52501,187,1569,392,Admin,,
2020-12-17,US,USA,United States,269516,491411,98282,258735,468739,93748,473,2042,408,Admin,,
2020-12-18,US,USA,United States,408662,900073,150012,397503,866242,144374,534,2576,429,Admin,,
2020-12-19,US,USA,United States,178254,1078327,154046,173728,1039970,148567,680,3256,465,Admin,,
2020-12-20,US,USA,United States,101678,1180005,166846,99568,1139538,161282,444,3700,335,Admin,,
2020-12-21,US,USA,United States,373360,1553365,219667,365155,1504693,212947,702,4402,435,Admin,,
2020-12-22,US,USA,United States,440171,1993536,275572,431135,1935828,268050,1847,6249,695,Admin,,
2020-12-23,US,USA,United States,557119,2550655,332680,545206,2481034,324433,1554,7803,891,Admin,,
2020-12-24,US,USA,United States,190919,2741574,321451,185382,2666416,313954,875,8678,948,Admin,,
2020-12-25,US,USA,United States,11882,2753456,264769,11796,2678212,258853,33,8711,876,Admin,,
2020-12-26,US,USA,United States,136326,2889782,258779,133902,2812114,253163,297,9008,822,Admin,,
2020-12-27,US,USA,United States,91409,2981191,257312,89572,2901686,251735,280,9288,798,Admin,,
2020-12-28,US,USA,United States,565529,3546720,284765,551804,3453490,278400,2084,11372,996,Admin,,
2020-12-29,US,USA,United States,694056,4240776,321034,673592,4127082,313036,2589,13961,1102,Admin,,
2020-12-30,US,USA,United States,811707,5052483,357404,789440,4916522,347927,4835,18796,1570,Admin,,
2020-12-31,US,USA,United States,407301,5459784,388315,396349,5312871,378065,1506,20302,1661,Admin,,
2021-01-01,US,USA,United States,39503,5499287,392261,38056,5350927,381816,783,21085,1768,Admin,,
2021-01-02,US,USA,United States,244404,5743691,407701,237995,5588922,396687,1827,22912,1986,Admin,,
2021-01-03,US,USA,United States,124701,5868392,412457,119050,5707972,400898,1887,24799,2216,Admin,,
2021-01-04,US,USA,United States,615309,6483701,419568,562043,6270015,402361,40945,65744,7767,Admin,,
2021-01-05,US,USA,United States,774153,7257854,431011,681332,6951347,403466,80141,145885,18846,Admin,,
2021-01-06,US,USA,United States,957780,8215634,451878,780102,7731449,402132,161298,307183,41198,Admin,,
2021-01-07,US,USA,United States,1096389,9312023,550319,816457,8547906,462148,262066,569249,78421,Admin,,
2021-01-08,US,USA,United States,1158962,10470985,710242,797322,9345228,570614,342477,911726,127234,Admin,,
2021-01-09,US,USA,United States,475442,10946427,743248,348900,9694128,586458,121303,1033029,144302,Admin,,
2021-01-10,US,USA,United States,229798,11176225,758261,162203,9856331,592623,65408,1098437,153377,Admin,,
2021-01-11,US,USA,United States,1001668,12177893,813456,680127,10536458,609492,304988,1403425,191097,Admin,,
2021-01-12,US,USA,United States,1171690,13349583,870247,857048,11393506,634594,297016,1700441,222079,Admin,,
2021-01-13,US,USA,United States,1243839,14593422,911112,973794,12367300,662264,254069,1954510,235332,Admin,,
2021-01-14,US,USA,United States,1235709,15829131,931015,1099156,13466456,702650,123216,2077726,215497,Admin,,
2021-01-15,US,USA,United States,1174469,17003600,933230,1057512,14523968,739820,106432,2184158,181776,Admin,,
