,dates,vaccinations
0,2020-12-13,12079.0
1,2020-12-14,3617.0
2,2020-12-15,48832.0
3,2020-12-16,157367.0
4,2020-12-17,269516.0
5,2020-12-18,408662.0
6,2020-12-19,178254.0
7,2020-12-20,101678.0
8,2020-12-21,373360.0
9,2020-12-22,440171.0
10,2020-12-23,557119.0
11,2020-12-24,190919.0
12,2020-12-25,11882.0
13,2020-12-26,136326.0
14,2020-12-27,91409.0
15,2020-12-28,565529.0
16,2020-12-29,694056.0
17,2020-12-30,811707.0
18,2020-12-31,407301.0
19,2021-01-01,39503.0
20,2021-01-02,244404.0
21,2021-01-03,124701.0
22,2021-01-04,615309.0
23,2021-01-05,774153.0
24,2021-01-06,957780.0
25,2021-01-07,1096389.0
26,2021-01-08,1158962.0
27,2021-01-09,475442.0
28,2021-01-10,229798.0
29,2021-01-11,1001668.0
30,2021-01-12,1171690.0
31,2021-01-13,1243839.0
32,2021-01-14,1235709.0
33,2021-01-15,1174469.0
34,2021-01-16,607910.0
35,2021-01-17,279155.0
36,2021-01-18,801327.0
37,2021-01-19,1254683.0
38,2021-01-20,1520044.0
39,2021-01-21,1528479.0
40,2021-01-22,1521697.0
41,2021-01-23,849094.0
42,2021-01-24,361795.0
43,2021-01-25,1260830.0
44,2021-01-26,1553541.0
45,2021-01-27,1802872.0
46,2021-01-28,1820820.0
47,2021-01-29,1777001.0
48,2021-01-30,949238.0
49,2021-01-31,418966.0
50,2021-02-01,1198704.0
51,2021-02-02,1547392.0
52,2021-02-03,1968443.0
53,2021-02-04,2144448.0
54,2021-02-05,2184846.0
55,2021-02-06,1206712.0
56,2021-02-07,413011.0
57,2021-02-08,1437842.0
58,2021-02-09,1794276.0
59,2021-02-10,2109267.0
60,2021-02-11,2188573.0
61,2021-02-12,2360478.0
62,2021-02-13,1359497.0
63,2021-02-14,537703.0
64,2021-02-15,1070882.0
65,2021-02-16,1446128.0
66,2021-02-17,1804126.0
67,2021-02-18,1681178.0
68,2021-02-19,1789703.0
69,2021-02-20,1192054.0
70,2021-02-21,515286.0
71,2021-02-22,1312595.0
72,2021-02-23,1734731.0
73,2021-02-24,2239693.0
74,2021-02-25,2579469.0
75,2021-02-26,2749207.0
76,2021-02-27,1752918.0
77,2021-02-28,729548.0
78,2021-03-01,1614185.0
79,2021-03-02,2024416.0
80,2021-03-03,2321739.0
81,2021-03-04,2265550.0
82,2021-03-05,1616159.0
83,2021-03-06,149939.0
84,2021-03-07,0.0
85,2021-03-08,1122207.9704844975
86,2021-03-09,2231002.960509614
87,2021-03-10,2537817.950203037
88,2021-03-11,2134984.1907511987
89,2021-03-12,1594842.5435147278
90,2021-03-13,1372449.5026299742
91,2021-03-14,1519787.8123070186
92,2021-03-15,1800816.490038954
93,2021-03-16,1971938.286869903
94,2021-03-17,1961646.7980286793
95,2021-03-18,1857193.3363287933
96,2021-03-19,1781093.9309527578
97,2021-03-20,1788850.9476745164
98,2021-03-21,1854073.8080870355
99,2021-03-22,1918670.5706160464
100,2021-03-23,1947021.9410925184
101,2021-03-24,1943313.176873245
102,2021-03-25,1933409.8617142607
103,2021-03-26,1937869.3881529786
104,2021-03-27,1959034.006760304
105,2021-03-28,1986234.9982673163
106,2021-03-29,2008466.6415251107
107,2021-03-30,2022501.004097788
108,2021-03-31,2032282.5400127734
109,2021-04-01,2043347.0142816154
110,2021-04-02,2058200.9481909948
111,2021-04-03,2075650.7476885645
112,2021-04-04,2093071.3518398732
113,2021-04-05,2108853.8500597407
114,2021-04-06,2123187.952741744
115,2021-04-07,2137242.5932186632
116,2021-04-08,2151946.4612763454
117,2021-04-09,2167405.0937510105
118,2021-04-10,2183136.2797032893
119,2021-04-11,2198642.780835948
120,2021-04-12,2213778.882405563
121,2021-04-13,2228722.905065693
122,2021-04-14,2243724.9768237714
123,2021-04-15,2258898.293692003
124,2021-04-16,2274188.87181314
125,2021-04-17,2289478.08984722
126,2021-04-18,2304693.273903984
127,2021-04-19,2319843.0231353
128,2021-04-20,2334980.1646847464
129,2021-04-21,2350146.6525391517
130,2021-04-22,2365347.2419264084
131,2021-04-23,2380560.1376029453
132,2021-04-24,2395762.8743539215
133,2021-04-25,2410948.874357258
134,2021-04-26,2426126.1991195907
135,2021-04-27,2441306.150423383
136,2021-04-28,2456493.8402667525
137,2021-04-29,2471686.827071104
138,2021-04-30,2486879.750572167
