Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,45620,45620,45620,36817,36817,36817,9669,9669,9669,Admin,,
2020-12-14,US,USA,United States,4848,50468,25234,4648,41465,20733,164,9833,4917,Admin,,
2020-12-15,US,USA,United States,47885,98353,32784,46418,87883,29294,328,10161,3387,Admin,,
2020-12-16,US,USA,United States,160151,258504,64626,155515,243398,60850,518,10679,2670,Admin,,
2020-12-17,US,USA,United States,275238,533742,106748,268246,511644,102329,826,11505,2301,Admin,,
2020-12-18,US,USA,United States,421048,954790,159132,411578,923222,153870,1326,12831,2139,Admin,,
2020-12-19,US,USA,United States,184213,1139003,162715,179798,1103020,157574,1159,13990,1999,Admin,,
2020-12-20,US,USA,United States,107199,1246202,171512,104910,1207930,167302,823,14813,735,Admin,,
2020-12-21,US,USA,United States,387101,1633303,226119,379414,1587344,220840,1674,16487,951,Admin,,
2020-12-22,US,USA,United States,451272,2084575,283746,441940,2029284,277343,3016,19503,1335,Admin,,
2020-12-23,US,USA,United States,578305,2662880,343482,566144,2595428,336004,3266,22769,1727,Admin,,
2020-12-24,US,USA,United States,197901,2860781,332434,192869,2788297,325236,1248,24017,1787,Admin,,
2020-12-25,US,USA,United States,12843,2873624,274119,12638,2800935,268245,138,24155,1618,Admin,,
2020-12-26,US,USA,United States,143534,3017158,268308,139914,2940849,262547,1070,25225,1605,Admin,,
2020-12-27,US,USA,United States,96869,3114027,266832,93941,3034790,260980,809,26034,1603,Admin,,
2020-12-28,US,USA,United States,597529,3711556,296893,582215,3617005,289952,4487,30521,2005,Admin,,
2020-12-29,US,USA,United States,729136,4440692,336588,709184,4326189,328129,5512,36033,2361,Admin,,
2020-12-30,US,USA,United States,848917,5289609,375247,828231,5154420,365570,7671,43704,2991,Admin,,
2020-12-31,US,USA,United States,426703,5716312,407933,415864,5570284,397427,3537,47241,3318,Admin,,
2021-01-01,US,USA,United States,137862,5854174,425793,124353,5694637,413386,9356,56597,4635,Admin,,
2021-01-02,US,USA,United States,268950,6123124,443709,259530,5954167,430474,3112,59709,4926,Admin,,
2021-01-03,US,USA,United States,141399,6264523,450071,133812,6087979,436170,2594,62303,5181,Admin,,
2021-01-04,US,USA,United States,665706,6930229,459810,605569,6693548,439506,45667,107970,11064,Admin,,
2021-01-05,US,USA,United States,840779,7771008,475759,738359,7431907,443674,88552,196522,22927,Admin,,
2021-01-06,US,USA,United States,1030603,8801611,501715,836232,8268139,444817,174965,371487,46826,Admin,,
2021-01-07,US,USA,United States,1177715,9979326,609002,870506,9138645,509766,284151,655638,86914,Admin,,
2021-01-08,US,USA,United States,1244741,11224067,767128,850665,9989310,613525,367995,1023633,138148,Admin,,
2021-01-09,US,USA,United States,512629,11736696,801939,372070,10361380,629602,130042,1153675,156281,Admin,,
2021-01-10,US,USA,United States,253088,11989784,817894,177568,10538948,635853,69895,1223570,165895,Admin,,
2021-01-11,US,USA,United States,1079145,13068929,876957,726303,11265251,653100,327062,1550632,206095,Admin,,
2021-01-12,US,USA,United States,1265924,14334853,937692,921829,12187080,679310,317487,1868119,238800,Admin,,
2021-01-13,US,USA,United States,1334854,15669707,981157,1035910,13222990,707836,273329,2141448,252852,Admin,,
2021-01-14,US,USA,United States,1325745,16995452,1002304,1162062,14385052,749487,137705,2279153,231931,Admin,,
2021-01-15,US,USA,United States,1268589,18264041,1005711,1123898,15508950,788520,122636,2401789,196879,Admin,,
2021-01-16,US,USA,United States,651783,18915824,1025590,568025,16076975,816514,73202,2474991,188759,Admin,,
2021-01-17,US,USA,United States,302512,19218336,1032650,256272,16333247,827757,42275,2517266,184814,Admin,,
2021-01-18,US,USA,United States,891805,20110141,1005887,644863,16978110,816123,229498,2746764,170876,Admin,,
2021-01-19,US,USA,United States,1353803,21463944,1018442,968717,17946827,822821,360817,3107581,177066,Admin,,
2021-01-20,US,USA,United States,1615237,23079181,1058496,1161663,19108490,840786,424920,3532501,198722,Admin,,
2021-01-21,US,USA,United States,1647635,24726816,1104481,1339290,20447780,866104,278914,3811415,218895,Admin,,
2021-01-22,US,USA,United States,1646871,26373687,1158521,1406081,21853861,906416,213070,4024485,231814,Admin,,
2021-01-23,US,USA,United States,913376,27287063,1195891,744595,22598456,931640,153321,4177806,243259,Admin,,
